open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1721470500000,3486.43000000,3486.44000000,3480.77000000,3480.93000000,1032.27400000,1721470799999,3594573.10488700,2344,161.95060000,563864.69893900,0
1721470800000,3480.93000000,3485.84000000,3480.93000000,3484.57000000,808.58980000,1721471099999,2816667.85143300,2048,516.02230000,1797407.70418700,0
1721471100000,3484.58000000,3484.81000000,3483.95000000,3484.01000000,192.93630000,1721471399999,672264.14731000,857,141.98880000,494741.12800100,0
1721471400000,3484.01000000,3486.00000000,3483.80000000,3485.77000000,249.23350000,1721471699999,868436.82498300,1196,164.32180000,572570.96342000,0
1721471700000,3485.77000000,3487.73000000,3485.03000000,3485.03000000,180.90980000,1721471999999,630736.64080300,1373,79.54030000,277277.44279600,0
1721472000000,3485.03000000,3485.26000000,3482.34000000,3482.34000000,205.44430000,1721472299999,715709.48026900,1248,122.78310000,427728.80267700,0
1721472300000,3482.34000000,3489.52000000,3482.34000000,3486.40000000,487.62290000,1721472599999,1700551.35354000,2877,366.55820000,1278295.81929500,0
1721472600000,3486.41000000,3489.78000000,3486.41000000,3487.69000000,225.44540000,1721472899999,786374.90970600,1564,108.09790000,377053.76893700,0
1721472900000,3487.69000000,3489.17000000,3487.00000000,3488.93000000,175.62020000,1721473199999,612609.52395900,1316,129.82740000,452874.82767000,0
1721473200000,3488.92000000,3489.40000000,3486.23000000,3487.19000000,131.58000000,1721473499999,458956.01057500,1336,38.24760000,133391.67034900,0
1721473500000,3487.20000000,3487.60000000,3486.47000000,3487.60000000,134.93310000,1721473799999,470519.94840800,1009,92.34980000,322027.13248100,0
1721473800000,3487.60000000,3487.60000000,3484.40000000,3484.61000000,201.95200000,1721474099999,703986.60700000,1352,94.61290000,329834.33848300,0
1721474100000,3484.61000000,3485.73000000,3482.20000000,3482.86000000,185.74920000,1721474399999,647187.91746600,1616,83.97000000,292560.55521400,0
1721474400000,3482.86000000,3483.54000000,3481.25000000,3481.40000000,405.19040000,1721474699999,1410949.05302000,1478,132.23870000,460454.88296700,0
1721474700000,3481.40000000,3486.68000000,3481.40000000,3486.67000000,1102.78610000,1721474999999,3841566.63370000,2044,618.37690000,2153984.87603800,0
1721475000000,3486.68000000,3491.10000000,3486.47000000,3490.75000000,539.14300000,1721475299999,1880535.17651600,1681,442.65650000,1543846.73514700,0
1721475300000,3490.75000000,3491.90000000,3488.89000000,3488.89000000,251.74390000,1721475599999,878894.02020500,1370,89.62680000,312904.18247200,0
1721475600000,3488.90000000,3490.76000000,3488.89000000,3490.75000000,164.33350000,1721475899999,573563.87080900,994,87.07090000,303881.86801400,0
1721475900000,3490.76000000,3490.76000000,3486.62000000,3488.01000000,161.74350000,1721476199999,564176.10070300,1395,53.41450000,186286.10510700,0
1721476200000,3488.00000000,3488.01000000,3483.61000000,3484.01000000,391.86470000,1721476499999,1365599.46848300,1773,91.39590000,318455.64860600,0
1721476500000,3484.01000000,3486.20000000,3484.00000000,3484.81000000,179.13070000,1721476799999,624341.63778900,994,120.87500000,421293.42493000,0
1721476800000,3484.81000000,3489.23000000,3484.43000000,3488.77000000,184.30410000,1721477099999,642839.69228700,1608,119.42320000,416537.31409900,0
1721477100000,3488.77000000,3490.00000000,3488.57000000,3489.68000000,259.32950000,1721477399999,904886.44079700,913,98.39020000,343304.99188300,0
1721477400000,3489.67000000,3491.00000000,3489.67000000,3490.79000000,197.00640000,1721477699999,687575.41959000,944,104.25330000,363841.98866600,0
1721477700000,3490.79000000,3490.79000000,3486.40000000,3489.80000000,590.70850000,1721477999999,2060629.62361900,1804,290.53200000,1013460.83489500,0
1721478000000,3489.81000000,3489.81000000,3487.76000000,3487.76000000,81.65590000,1721478299999,284849.30982400,895,47.25380000,164830.84180900,0
1721478300000,3487.76000000,3488.47000000,3486.60000000,3488.46000000,154.87560000,1721478599999,540074.77752400,984,50.41180000,175803.32251000,0
1721478600000,3488.47000000,3491.12000000,3487.00000000,3490.79000000,230.58770000,1721478899999,804542.97458100,1438,181.37630000,632896.22033200,0
1721478900000,3490.80000000,3495.99000000,3490.79000000,3493.60000000,405.69790000,1721479199999,1417416.13533700,1958,306.95690000,1072363.80196000,0
1721479200000,3493.60000000,3494.99000000,3492.55000000,3492.86000000,690.50260000,1721479499999,2412750.48570700,2254,314.28040000,1098155.69402500,0
1721479500000,3492.86000000,3496.62000000,3492.86000000,3495.41000000,545.76390000,1721479799999,1907699.82001800,3641,246.52750000,861562.11834200,0
1721479800000,3495.42000000,3495.57000000,3492.72000000,3492.73000000,419.29600000,1721480099999,1465364.52190800,1477,153.52010000,536551.81834000,0
1721480100000,3492.73000000,3493.59000000,3491.68000000,3492.11000000,145.94100000,1721480399999,509725.63247500,981,71.81610000,250810.53521600,0
1721480400000,3492.11000000,3495.05000000,3492.09000000,3493.59000000,573.66190000,1721480699999,2004231.47273000,1576,501.44060000,1751890.02954200,0
1721480700000,3493.60000000,3493.60000000,3489.50000000,3489.51000000,393.65010000,1721480999999,1374607.58776600,1659,68.88060000,240517.81047600,0
1721481000000,3489.50000000,3489.50000000,3486.00000000,3486.01000000,364.64330000,1721481299999,1271529.88098100,1214,156.57400000,545990.68220100,0
1721481300000,3486.01000000,3490.75000000,3481.20000000,3490.52000000,2718.28380000,1721481599999,9474868.53379600,5342,407.48540000,1420242.02811000,0
1721481600000,3490.52000000,3493.56000000,3490.25000000,3493.50000000,325.37770000,1721481899999,1136041.53007300,1797,116.03560000,405153.35734700,0
1721481900000,3493.50000000,3494.96000000,3492.28000000,3494.28000000,285.62300000,1721482199999,997822.40317100,1343,131.65780000,459928.37739200,0
1721482200000,3494.28000000,3498.20000000,3489.00000000,3489.00000000,909.95950000,1721482499999,3178414.57184400,4039,379.19690000,1324896.69481500,0
1721482500000,3489.01000000,3489.49000000,3484.10000000,3485.65000000,989.84430000,1721482799999,3451358.75453300,4440,227.47160000,792968.22854800,0
1721482800000,3485.75000000,3486.25000000,3484.37000000,3486.00000000,237.49940000,1721483099999,827751.92457500,2103,150.54500000,524687.00809000,0
1721483100000,3486.00000000,3486.25000000,3483.69000000,3486.23000000,407.57010000,1721483399999,1420399.18032700,2339,226.78610000,790339.50069300,0
1721483400000,3486.23000000,3489.48000000,3485.12000000,3489.48000000,173.32220000,1721483699999,604234.35173000,1578,87.84420000,306244.08567300,0
1721483700000,3489.48000000,3491.60000000,3489.07000000,3490.68000000,293.93830000,1721483999999,1025847.84446100,1620,149.39260000,521352.99328100,0
1721484000000,3490.69000000,3493.75000000,3488.81000000,3491.56000000,487.15120000,1721484299999,1700713.56383500,2591,218.88920000,764216.81097600,0
1721484300000,3491.56000000,3494.00000000,3490.65000000,3490.66000000,410.61330000,1721484599999,1433941.93484100,1989,132.94550000,464302.87395100,0
1721484600000,3490.66000000,3490.66000000,3489.49000000,3490.00000000,402.16370000,1721484899999,1403626.75118400,2609,180.04020000,628334.66539600,0
1721484900000,3490.00000000,3492.95000000,3489.99000000,3492.95000000,298.22540000,1721485199999,1041144.88251600,1411,161.98120000,565518.26363600,0
1721485200000,3492.94000000,3495.52000000,3492.94000000,3495.51000000,635.86330000,1721485499999,2221746.30783400,1522,558.79040000,1952442.92213400,0
1721485500000,3495.51000000,3496.25000000,3494.44000000,3495.77000000,583.88620000,1721485799999,2040992.66919000,1881,416.43120000,1455648.06679500,0
1721485800000,3495.77000000,3497.63000000,3493.54000000,3495.28000000,712.67450000,1721486099999,2491522.99446200,2843,311.99840000,1090757.24991500,0
1721486100000,3495.29000000,3503.91000000,3494.60000000,3502.85000000,1351.02040000,1721486399999,4725653.30580200,4308,1055.50770000,3691984.80033900,0
1721486400000,3502.85000000,3507.84000000,3501.80000000,3505.62000000,1036.94930000,1721486699999,3634458.77445700,3831,758.98230000,2660190.99735200,0
1721486700000,3505.62000000,3505.62000000,3496.74000000,3499.50000000,560.24360000,1721486999999,1960987.82163700,3477,183.79560000,643289.68508600,0
1721487000000,3499.50000000,3499.50000000,3494.61000000,3494.80000000,339.34610000,1721487299999,1186668.09082100,2181,135.80970000,474895.94276800,0
1721487300000,3494.80000000,3498.33000000,3494.79000000,3497.41000000,477.96620000,1721487599999,1671281.03684400,3701,251.51450000,879395.11975700,0
1721487600000,3497.41000000,3500.56000000,3497.41000000,3500.33000000,331.59000000,1721487899999,1160489.99309400,1935,135.89000000,475545.46239900,0
1721487900000,3500.33000000,3501.80000000,3498.84000000,3501.80000000,430.54070000,1721488199999,1506958.00854800,1983,226.40390000,792526.00834600,0
1721488200000,3501.80000000,3502.40000000,3497.73000000,3498.78000000,368.22680000,1721488499999,1288698.94386300,1939,215.27740000,753342.49733700,0
1721488500000,3498.78000000,3499.50000000,3496.99000000,3497.78000000,606.02240000,1721488799999,2120227.68539800,1735,153.49410000,536918.51807300,0
1721488800000,3497.78000000,3504.46000000,3497.77000000,3502.38000000,415.92960000,1721489099999,1456580.14157800,2698,185.09070000,648106.16086600,0
1721489100000,3502.38000000,3504.70000000,3501.68000000,3504.70000000,280.67600000,1721489399999,983282.47017500,1548,167.56690000,587042.71599900,0
1721489400000,3504.70000000,3507.70000000,3499.01000000,3499.01000000,703.84670000,1721489699999,2465893.81591700,4228,207.94970000,728616.64537800,0
1721489700000,3499.02000000,3499.46000000,3494.66000000,3498.55000000,828.67000000,1721489999999,2897557.34724200,3917,369.04030000,1290203.18314500,0
1721490000000,3498.55000000,3500.71000000,3498.20000000,3498.49000000,402.89960000,1721490299999,1410033.36743300,2553,179.73490000,629036.64974600,0
1721490300000,3498.54000000,3501.80000000,3498.54000000,3498.66000000,326.95570000,1721490599999,1144621.69403200,2689,119.74890000,419219.17146100,0
1721490600000,3498.66000000,3500.40000000,3498.20000000,3499.01000000,334.16780000,1721490899999,1169332.56737500,1776,196.94130000,689096.24609900,0
1721490900000,3499.01000000,3503.80000000,3499.01000000,3503.72000000,233.80640000,1721491199999,818767.00907100,2105,85.23580000,298474.97109800,0
1721491200000,3503.71000000,3505.73000000,3500.20000000,3502.80000000,796.12220000,1721491499999,2789489.75643000,4620,430.08220000,1507096.98161500,0
1721491500000,3502.81000000,3503.19000000,3498.91000000,3501.00000000,356.56120000,1721491799999,1248217.19468500,2079,108.66400000,380366.77881500,0
1721491800000,3501.00000000,3503.00000000,3500.94000000,3502.18000000,259.08660000,1721492099999,907249.99326800,1497,114.63440000,401393.24746400,0
1721492100000,3502.18000000,3502.19000000,3499.07000000,3500.14000000,311.50880000,1721492399999,1090404.02384400,1860,131.07850000,458802.69824300,0
1721492400000,3500.14000000,3507.29000000,3500.14000000,3505.10000000,404.43270000,1721492699999,1417343.24427600,3914,243.78330000,854193.86767500,0
1721492700000,3505.10000000,3506.65000000,3503.59000000,3505.81000000,292.31950000,1721492999999,1024616.88795700,2325,112.85440000,395578.75044100,0
1721493000000,3505.80000000,3512.91000000,3505.80000000,3511.81000000,1034.10030000,1721493299999,3629680.57138400,3614,626.81580000,2200016.16117700,0
1721493300000,3511.86000000,3513.40000000,3504.20000000,3507.79000000,729.56720000,1721493599999,2559252.71984700,3762,262.67340000,921573.53175000,0
1721493600000,3507.78000000,3508.30000000,3498.93000000,3498.94000000,1132.26710000,1721493899999,3965757.15433300,3986,253.44020000,887616.95273400,0
1721493900000,3498.93000000,3499.09000000,3490.53000000,3496.59000000,824.04680000,1721494199999,2880152.55155800,7256,313.30050000,1095067.98697300,0
1721494200000,3496.59000000,3497.92000000,3491.81000000,3497.19000000,600.21730000,1721494499999,2097673.74419000,3098,233.37030000,815632.05391900,0
1721494500000,3497.19000000,3498.40000000,3496.43000000,3498.20000000,215.90130000,1721494799999,755145.22069400,1702,94.30990000,329864.22060700,0
1721494800000,3498.19000000,3498.39000000,3496.00000000,3498.37000000,568.60820000,1721495099999,1988519.90994900,2384,173.74170000,607538.75288300,0
1721495100000,3498.38000000,3504.02000000,3498.37000000,3503.05000000,849.10320000,1721495399999,2973806.99618400,2632,537.88520000,1883566.82209800,0
1721495400000,3503.06000000,3516.40000000,3492.38000000,3504.59000000,5363.97820000,1721495699999,18801902.17323900,15372,2605.10920000,9130238.73443500,0
1721495700000,3504.60000000,3518.78000000,3503.67000000,3513.34000000,3611.48760000,1721495999999,12690370.71806600,19538,1664.45110000,5848230.21809800,0
1721496000000,3513.34000000,3516.73000000,3510.13000000,3512.58000000,1315.85940000,1721496299999,4622201.76478600,6604,395.03600000,1387449.58572100,0
1721496300000,3512.58000000,3512.59000000,3505.62000000,3507.69000000,706.87490000,1721496599999,2479932.14342900,4800,171.74150000,602355.51343300,0
1721496600000,3507.70000000,3529.41000000,3507.70000000,3525.40000000,2747.08150000,1721496899999,9672322.13627500,12205,1951.92000000,6872050.57792900,0
1721496900000,3525.39000000,3527.97000000,3521.87000000,3523.60000000,747.74070000,1721497199999,2635483.50158900,4830,261.92700000,923228.49868500,0
1721497200000,3523.59000000,3534.57000000,3523.44000000,3530.81000000,1227.98630000,1721497499999,4335546.63622600,5422,686.38150000,2422994.76916000,0
1721497500000,3530.81000000,3539.65000000,3530.81000000,3533.13000000,1727.08960000,1721497799999,6107012.44427200,8828,1026.35870000,3629151.03931000,0
1721497800000,3533.14000000,3533.46000000,3523.58000000,3527.80000000,1153.44890000,1721498099999,4069097.85731500,4498,353.78440000,1247801.22644000,0
1721498100000,3527.80000000,3528.19000000,3524.00000000,3527.16000000,765.69160000,1721498399999,2700499.34780500,3092,317.64290000,1120262.46203200,0
1721498400000,3527.17000000,3529.64000000,3522.00000000,3522.30000000,540.01610000,1721498699999,1903286.99683900,4003,205.73930000,725079.36362300,0
1721498700000,3522.30000000,3524.54000000,3517.00000000,3518.54000000,1113.58740000,1721498999999,3919877.79334600,7055,326.60230000,1149828.98218700,0
1721499000000,3518.53000000,3524.60000000,3518.53000000,3524.59000000,413.88000000,1721499299999,1457694.81668400,2603,201.82020000,710830.07451000,0
1721499300000,3524.58000000,3528.03000000,3522.75000000,3527.00000000,588.92570000,1721499599999,2076395.53938200,3600,320.77200000,1130964.72199700,0
1721499600000,3526.99000000,3528.80000000,3522.45000000,3528.04000000,612.88000000,1721499899999,2161171.58411900,3472,374.47110000,1320466.47714600,0
1721499900000,3528.03000000,3531.00000000,3527.00000000,3527.00000000,587.66550000,1721500199999,2074324.66551900,2479,439.69360000,1552061.09150200,0
1721500200000,3527.01000000,3530.03000000,3526.20000000,3526.68000000,277.20570000,1721500499999,977988.79875000,2477,122.00500000,430426.51001400,0
1721500500000,3526.69000000,3526.69000000,3522.40000000,3524.39000000,283.66380000,1721500799999,999591.44840100,1915,163.09410000,574654.71066000,0
1721500800000,3524.40000000,3532.83000000,3524.40000000,3532.82000000,437.13380000,1721501099999,1542627.45969500,2632,270.44130000,954357.69136800,0
1721501100000,3532.83000000,3537.53000000,3532.20000000,3535.26000000,517.85250000,1721501399999,1830688.53414300,4192,259.20620000,916301.31149200,0
1721501400000,3535.27000000,3538.00000000,3532.65000000,3533.79000000,492.23530000,1721501699999,1740365.30354600,4317,231.51510000,818704.12470900,0
1721501700000,3533.79000000,3534.00000000,3529.83000000,3531.01000000,508.30940000,1721501999999,1795237.05467000,2114,119.98980000,423665.56921700,0
1721502000000,3531.01000000,3531.98000000,3527.71000000,3530.91000000,445.93310000,1721502299999,1573968.85457400,2069,164.02050000,578872.89368900,0
1721502300000,3530.91000000,3536.50000000,3530.60000000,3534.53000000,539.94160000,1721502599999,1908149.07399900,2107,289.81380000,1024111.69566600,0
1721502600000,3534.54000000,3535.00000000,3530.17000000,3530.17000000,665.36230000,1721502899999,2351018.58121000,1989,195.83190000,692114.77984300,0
1721502900000,3530.00000000,3530.00000000,3524.00000000,3524.94000000,660.53380000,1721503199999,2329680.71414300,2902,156.71740000,552590.88002500,0
1721503200000,3524.99000000,3528.15000000,3524.00000000,3527.59000000,294.66430000,1721503499999,1039256.66709500,1589,155.90260000,549845.00134900,0
1721503500000,3527.59000000,3527.60000000,3525.35000000,3525.99000000,247.02510000,1721503799999,871142.69658200,1148,80.40490000,283534.08765000,0
1721503800000,3525.99000000,3526.81000000,3523.43000000,3526.00000000,342.48850000,1721504099999,1207200.01521800,1798,197.99260000,697868.78885000,0
1721504100000,3526.00000000,3526.16000000,3513.59000000,3517.75000000,1335.12120000,1721504399999,4697576.62245000,5754,360.76920000,1268909.09332800,0
1721504400000,3517.75000000,3519.29000000,3513.72000000,3517.70000000,468.76180000,1721504699999,1648585.34188600,2660,204.88680000,720574.04766800,0
1721504700000,3517.71000000,3519.79000000,3508.81000000,3509.73000000,1255.21340000,1721504999999,4410387.02649500,5254,417.33460000,1466246.20942400,0
1721505000000,3509.74000000,3513.50000000,3509.74000000,3510.63000000,363.51740000,1721505299999,1276674.27004400,2634,178.37680000,626413.15174100,0
1721505300000,3510.63000000,3514.45000000,3510.00000000,3514.45000000,207.61000000,1721505599999,729374.36162500,1538,101.93110000,358086.63871800,0
1721505600000,3514.44000000,3522.24000000,3514.44000000,3522.07000000,312.06380000,1721505899999,1098263.53468600,2049,220.77680000,777059.52343300,0
1721505900000,3522.08000000,3523.73000000,3519.01000000,3519.99000000,202.80100000,1721506199999,714271.91762700,1591,79.04590000,278389.29795600,0
1721506200000,3519.99000000,3524.49000000,3519.99000000,3524.49000000,152.70460000,1721506499999,537942.65846900,1370,92.30130000,325148.38098600,0
1721506500000,3524.48000000,3524.93000000,3520.60000000,3523.41000000,189.16940000,1721506799999,666516.02381100,2123,96.97280000,341672.85597400,0
1721506800000,3523.42000000,3523.84000000,3521.34000000,3522.62000000,103.24120000,1721507099999,363722.23594200,1083,31.57690000,111245.24898000,0
1721507100000,3522.62000000,3522.92000000,3520.00000000,3521.59000000,130.38770000,1721507399999,459145.87306300,904,84.03400000,295912.06177700,0
1721507400000,3521.59000000,3523.84000000,3520.88000000,3523.83000000,88.04780000,1721507699999,310119.74043600,922,53.79780000,189489.77145700,0
1721507700000,3523.84000000,3526.22000000,3523.84000000,3525.42000000,257.75280000,1721507999999,908633.90298300,2046,109.46820000,385878.94972100,0
1721508000000,3525.42000000,3526.21000000,3523.00000000,3523.59000000,143.57090000,1721508299999,506197.46593300,1008,55.57260000,195940.49176200,0
1721508300000,3523.59000000,3525.60000000,3523.21000000,3524.13000000,187.32220000,1721508599999,660114.23490500,1217,103.63370000,365191.95523600,0
1721508600000,3524.12000000,3524.55000000,3522.40000000,3523.17000000,217.64860000,1721508899999,766884.36519400,1441,51.52490000,181552.65777700,0
1721508900000,3523.17000000,3523.80000000,3522.00000000,3522.27000000,119.68590000,1721509199999,421620.91502800,1082,54.49880000,191984.19061100,0
1721509200000,3522.28000000,3523.00000000,3506.00000000,3509.74000000,1121.01190000,1721509499999,3940210.81666500,4692,320.21060000,1124950.75489900,0
1721509500000,3509.73000000,3512.20000000,3507.61000000,3507.99000000,438.27870000,1721509799999,1538187.24974300,3002,160.81510000,564381.86388300,0
1721509800000,3507.99000000,3511.88000000,3500.20000000,3510.94000000,1213.72140000,1721510099999,4254948.81732500,5448,559.83330000,1963183.88468600,0
1721510100000,3510.94000000,3514.69000000,3507.03000000,3512.08000000,327.07250000,1721510399999,1148211.54446500,2798,181.16260000,635913.57419800,0
1721510400000,3512.09000000,3512.57000000,3507.00000000,3512.43000000,206.64490000,1721510699999,725373.64719400,1631,75.03230000,263386.76041000,0
1721510700000,3512.44000000,3512.89000000,3511.78000000,3512.89000000,151.55280000,1721510999999,532260.42776600,858,38.65600000,135766.05034000,0
